Game 1,Match Replay Url,Team on Blue Side,Winner,ProDraft Spectate Link,Post Game Screenshot
,,Imagine Cloud,Red,,3NCROPw.png
Game 2,Match Replay Url,Team on Blue Side,Winner,ProDraft Spectate Link,Post Game Screenshot
,,Team22,Red,,3p3oznI.jpg
