Game 1,Home Side Selection,Winner,ProDraft Spectate Link,Match History Link,Blue Player,Blue Champion,Red Player,Red Champion
,Washed Up Warriors,Red,n/a,w1g1.PNG
Game 2,Away Side Selection,Winner,ProDraft Spectate Link,Match History Link,Blue Player,Blue Champion,Red Player,Red Champion
,ADDDR,Blue,n/a,w1g2.PNG
